frame_idx,obj_id,tip_x,tip_y,base_x,base_y
0,1,905.0,571.0,1599.0,895.0
0,2,672.0,544.0,90.0,60.0
1,1,905.0,572.0,1599.0,896.0
1,2,671.0,546.0,89.0,60.0
2,1,905.0,572.0,1599.0,896.0
2,2,672.0,546.0,90.0,62.0
3,1,905.0,573.0,1599.0,896.0
3,2,672.0,546.0,88.0,60.0
4,1,905.0,573.0,1599.0,896.0
4,2,672.0,545.0,89.0,58.0
5,1,906.0,571.0,1599.0,895.0
5,2,672.0,545.0,90.0,60.0
6,1,907.0,569.0,1599.0,895.0
6,2,672.0,544.0,89.0,59.0
7,1,906.0,571.0,1599.0,894.0
7,2,672.0,544.0,89.0,59.0
8,1,906.0,571.0,1599.0,894.0
8,2,671.0,545.0,90.0,58.0
9,1,906.0,571.0,1599.0,894.0
9,2,672.0,543.0,88.0,59.0
10,1,906.0,570.0,1599.0,895.0
10,2,672.0,543.0,90.0,59.0
11,1,904.0,574.0,1599.0,895.0
11,2,672.0,544.0,90.0,58.0
12,1,904.0,574.0,1599.0,895.0
12,2,672.0,544.0,88.0,58.0
13,1,904.0,574.0,1599.0,895.0
13,2,672.0,544.0,89.0,58.0
14,1,905.0,572.0,1599.0,895.0
14,2,671.0,545.0,90.0,58.0
15,1,905.0,573.0,1599.0,896.0
15,2,672.0,543.0,89.0,58.0
16,1,905.0,573.0,1599.0,896.0
16,2,672.0,543.0,90.0,58.0
17,1,905.0,574.0,1599.0,896.0
17,2,672.0,543.0,90.0,59.0
18,1,905.0,574.0,1599.0,896.0
18,2,672.0,543.0,90.0,58.0
19,1,905.0,574.0,1599.0,896.0
19,2,672.0,543.0,88.0,60.0
20,1,906.0,572.0,1599.0,896.0
20,2,672.0,542.0,89.0,58.0
21,1,905.0,574.0,1599.0,896.0
21,2,671.0,544.0,88.0,58.0
22,1,905.0,573.0,1599.0,896.0
22,2,672.0,542.0,89.0,58.0
23,1,904.0,575.0,1599.0,896.0
23,2,671.0,544.0,89.0,58.0
24,1,905.0,573.0,1599.0,896.0
24,2,671.0,544.0,89.0,58.0
25,1,905.0,573.0,1599.0,896.0
25,2,671.0,544.0,88.0,58.0
26,1,906.0,572.0,1599.0,895.0
26,2,671.0,544.0,89.0,58.0
27,1,906.0,573.0,1599.0,896.0
27,2,672.0,542.0,88.0,60.0
28,1,906.0,573.0,1599.0,896.0
28,2,672.0,542.0,90.0,59.0
29,1,906.0,573.0,1599.0,895.0
29,2,672.0,541.0,88.0,58.0
30,1,906.0,573.0,1599.0,895.0
30,2,672.0,541.0,88.0,59.0
31,1,906.0,573.0,1599.0,897.0
31,2,672.0,541.0,90.0,59.0
32,1,905.0,574.0,1599.0,896.0
32,2,672.0,542.0,90.0,57.0
33,1,905.0,574.0,1599.0,897.0
33,2,672.0,543.0,90.0,58.0
34,1,905.0,573.0,1599.0,897.0
34,2,672.0,543.0,89.0,58.0
35,1,905.0,573.0,1599.0,897.0
35,2,672.0,543.0,90.0,61.0
36,1,904.0,575.0,1599.0,897.0
36,2,672.0,542.0,90.0,58.0
37,1,904.0,575.0,1599.0,897.0
37,2,672.0,542.0,89.0,59.0
38,1,905.0,573.0,1599.0,897.0
38,2,671.0,543.0,91.0,60.0
39,1,905.0,573.0,1599.0,896.0
39,2,672.0,542.0,90.0,59.0
40,1,905.0,573.0,1599.0,896.0
40,2,671.0,544.0,90.0,59.0
41,1,904.0,574.0,1599.0,897.0
41,2,671.0,544.0,90.0,59.0
42,1,904.0,574.0,1599.0,897.0
42,2,672.0,543.0,90.0,60.0
43,1,903.0,574.0,1599.0,899.0
43,2,672.0,543.0,90.0,58.0
44,1,903.0,573.0,1599.0,898.0
44,2,671.0,544.0,89.0,59.0
45,1,902.0,574.0,1599.0,899.0
45,2,671.0,544.0,88.0,58.0
46,1,902.0,573.0,1599.0,900.0
46,2,671.0,544.0,88.0,59.0
47,1,901.0,575.0,1599.0,899.0
47,2,671.0,545.0,87.0,59.0
48,1,901.0,574.0,1599.0,899.0
48,2,671.0,546.0,87.0,58.0
49,1,901.0,575.0,1599.0,899.0
49,2,672.0,546.0,87.0,59.0
50,1,901.0,575.0,1599.0,900.0
50,2,671.0,548.0,87.0,62.0
51,1,902.0,573.0,1599.0,899.0
51,2,671.0,548.0,84.0,59.0
52,1,902.0,574.0,1599.0,899.0
52,2,671.0,548.0,84.0,59.0
53,1,902.0,574.0,1599.0,898.0
53,2,671.0,548.0,84.0,62.0
54,1,902.0,574.0,1599.0,898.0
54,2,670.0,549.0,84.0,61.0
55,1,902.0,573.0,1599.0,898.0
55,2,671.0,547.0,84.0,58.0
56,1,902.0,573.0,1599.0,898.0
56,2,672.0,546.0,86.0,62.0
57,1,902.0,572.0,1599.0,898.0
57,2,671.0,548.0,84.0,58.0
58,1,902.0,571.0,1599.0,898.0
58,2,673.0,546.0,86.0,60.0
59,1,900.0,574.0,1599.0,898.0
59,2,672.0,548.0,84.0,58.0
60,1,900.0,573.0,1599.0,897.0
60,2,671.0,549.0,86.0,61.0
61,1,899.0,574.0,1599.0,898.0
